id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
30699,37,,RUE,ANATOLE FRANCE,Appartement,68,4,,94043
30700,99,,AV,DU GENERAL LECLERC,Appartement,81,4,,94046
30701,4,,RUE,DE SERVON,Maison,139,5,,94047
30702,16,,AV,DE JOINVILLE,Appartement,25,1,,94052
30703,168,,AV,DU MARECHAL JOFFRE,Appartement,80,3,,94058
30704,14,,RUE,DU 8 MAI 1945,Appartement,21,1,,94060
30705,125,,AV,DE PARIS,Appartement,90,3,,94067
30706,2,,AV,DU MIDI,Appartement,30,1,,94068
30707,13,,RUE,DU CHEMIN VERT,Appartement,30,2,,94068
30708,11,,ALL,MOULIN DES CORBEAUX,Appartement,65,3,,94069
30709,4,,ALL,PIERRE MENDES FRANCE,Appartement,74,4,,94079
30710,2,,BD,DE STRASBOURG,Appartement,26,1,,94079
30711,40,,RUE,DE FONTENAY,Appartement,50,2,,94080
30712,13,,RUE,DES POMMIERS,Appartement,66,4,,94080
30713,53,,RUE,DE LA PREVOYANCE,Appartement,24,2,,94080
30714,10,,RUE,ALBERT 1ER,Appartement,29,1,,95052
30715,1,,RUE,EUGENE GUIGNET,Appartement,53,2,,95052
30716,62,,RUE,HAUTE,Appartement,28,2,,95197
30717,2,,RUE,DES POIRIERS,Appartement,46,2,,95199
30718,35,,RUE,DE SOISY,Appartement,60,3,,95203
30719,144,,RUE,DE LA GARE,Appartement,46,3,,95219
30720,6,,RUE,DES NOISETIERS,Appartement,46,3,,95268
30721,2,,RUE,ERNEST RENAN,Appartement,38,2,,95268
30722,192,,AV,LA DIVISION LECLERC,Appartement,60,2,,95428
30723,106,,RUE,DES CHESNEAUX,Appartement,39,2,,95428
30724,128,,AV,DE CEINTURE,Appartement,25,1,,95555
30725,5477,F,RES,PRINCIPAUTE,Appartement,51,2,,972209
30726,20,,RUE,DE LA BECUNE,Appartement,42,2,,972231
30727,53,,ALL,DES PRUNUS,Appartement,166,5,,01354
30728,,,RES,LE MONOIKOS,Appartement,39,1,,04226
30729,5710,,,FRONT DE NEIGE,Appartement,29,1,,06073
30730,1,,PTE,DE FRANCE,Appartement,33,1,,06083
30731,15,,AV,DU REQUIER,Appartement,74,4,,06083
30732,54,,AV,DU RAY,Appartement,63,4,,06088
30733,10,,RUE,DU CONGRES,Appartement,124,5,,06088
30734,54,,RUE,DE FRANCE,Appartement,60,3,,06088
30735,32,,BD,DUBOUCHAGE,Appartement,70,2,,06088
30736,21,,RUE,GEORGES DOUBLET,Appartement,20,1,,06088
30737,6,,IMP,FERNAND LEGER,Maison,102,5,,06149
30738,15,,RUE,LUCIEN MOREL PAYEN,Appartement,66,3,,10387
30739,20,,PAS,BARBEROUSSE,Appartement,29,2,,11170
30740,16,,BD,MARCEL SEMBAT,Appartement,53,3,,11262
30741,6,,QUAI,DES MARCHANDS,Appartement,32,1,,14220
